title	content
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בעין השלושה שבעוטף עזה.
"סערת מסיבת העיתונאים עם החטופה: מנכ""ל איכילוב זומן לשיחה במשרד הבריאות"	"מנכ""ל משרד הבריאות משה בר סימן טוב זימן את מנכ""ל בית החולים איכילוב פרופ' רוני גמזו לשיחה, בעקבות הסערה הציבורית שהתחוללה אחרי ההחלטה לכנס מסיבת עיתונאים בבית החולים עם החטופה המשוחררת יוכבדת ליפשיץ בת ה-85. "
"ארדואן: ""המערב לא פועל לפי החוק בעזה כי הדם שנשפך הוא של מוסלמים"""	"נשיא טורקיה רג'פ טאיפ ארדואן אמר כי מדינות המערב לא מצייתות לחוק הבינלאומי בעזה, בגלל ש""הדם שנשפך הוא דם של מוסלמים"", וטען כי ""ההתקפות הישראליות על עזה הן ברבריות. בנאום בארמון הנשיאות בטורקיה, האשים ארדואן את מדינות המערב במתן תמיכה ללא תנאים לתקיפות הישראליות מבלי לקרוא לאיפוק. לדבריו, ""אף אחד לא צריך לצפות מטורקיה לשמור על שתיקה נוכח האלימות בעזה""."
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בכרם שלום שבעוטף עזה.
סמוטריץ' יקים מרכז שליטה אזרחי לתכלול עבודת משרדי הממשלה וימנה פרויקטור	"הממשלה אישרה את הקמת מרכז שליטה אזרחי לתכלול עבודת משרדי הממשלה בתקופת המלחמה. על פי נוסח ההחלטה, מ""מ יו""ר הקבינט החברתי-כלכלי שר האוצר בצלאל סמוטריץ' ימנה פרויקטור לניהול המרכז, שירכז את עבודת הקבינט, יתאם, יתכלל ויגבש תמונת מצב מול משרדי הממשלה והגורמים הרלוונטיים בכל הנוגע לשמירת הרציפות התפקודית למתן מענה לצורכי העורף בזמן המלחמה."
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בכרם שלום שבעוטף עזה.
חוסל פעיל בכיר במערך הרקטי של חמאס	"מטוסי קרב בהכוונת מידע מודיעיני של שב""כ ואמ""ן חיסלו את מפקד מערך הירי הרקטי של צפון חאן יונס של חמאס חסן אלעבדאדלה. כך מסרו צה""ל ושב""כ בהודעה משותפת, שבה צוין כי ""זאת לצד מספר חיסולים של מחבלים בארגון הטרור חמאס וכן המשך תקיפות של מטוסי קרב המשמידים תשתיות של ארגון הטרור חמאס, ביניהן עמדות שיגור ומפקדות טרור""."
"הפלסטינים: ""מניין ההרוגים במלחמה עלה ל-7,028, בהם ילדים"""	משרד הבריאות בעזה עדכן כי מניין ההרוגים מתחילת המלחמה הגיע ל-7,028, בהם 2,913 ילדים, 1,709 נשים ו-397 קשישים.
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בנירים שבעוטף עזה.
השרים לוין וארבל בוחנים אפשרות לשלילת אזרחות ממי שתומך או מסית לטרור	"שר המשפטים יריב לוין ושר הפנים משה ארבל קיימו ישיבה עם גורמי מקצוע בסוגיית שלילת אזרחות ותושבות ממי שעוסק בטרור, תומך בטרור, מסית לטרור, או מזדהה עם מעשה טרור. כך נמסר בהודעה משותפת של השרים, שבה צוין כי ""נוכח מצב המלחמה, סוכם לקדם באופן מיידי חקיקה אשר תראה בביצוע פעולות כאמור בשעת מלחמה, משום נסיבה מחמירה לצורך שלילת האזרחות או התושבות""."
